steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
11733	168	22.931199550628662	72.0	72.0	0.0	72.0	72.0	0.4769203	0.6547370365727693	11733	11234	11733
11779	169	23.006624221801758	72.0	72.0	0.0	72.0	72.0	0.29333812	0.6334393922425806	11779	11280	11779
11815	170	23.06699299812317	72.0	72.0	0.0	72.0	72.0	0.50720173	0.6507045857887716	11815	11316	11815
11864	171	23.148677110671997	72.0	72.0	0.0	72.0	72.0	0.91069794	0.7024090798664838	11864	11365	11864
11907	172	23.221113681793213	72.0	72.0	0.0	72.0	72.0	0.7413513	0.8533309638127684	11907	11408	11907
11956	173	23.302626371383667	72.0	72.0	0.0	72.0	72.0	-0.2266111	0.8955369123304263	11956	11457	11956
12000	174	23.37787628173828	72.0	72.0	0.0	72.0	72.0	1.1495748	0.8194409240735695	12000	11501	12000
12052	175	23.464932680130005	72.0	72.0	0.0	72.0	72.0	0.26482913	0.8908215665165335	12052	11553	12052
12102	176	23.548418045043945	72.0	72.0	0.0	72.0	72.0	0.56777173	0.7239434952661395	12102	11603	12102
12151	177	23.62906503677368	72.0	72.0	0.0	72.0	72.0	0.49665	0.7396908362396062	12151	11652	12151
12196	178	23.70458149909973	72.0	72.0	0.0	72.0	72.0	0.8493968	0.8387136109964922	12196	11697	12196
12236	179	23.77362823486328	72.0	72.0	0.0	72.0	72.0	0.81348366	0.8180004967330023	12236	11737	12236
12276	180	23.844077825546265	72.0	72.0	0.0	72.0	72.0	1.7249923	0.9801930667506531	12276	11777	12276
12321	181	23.919589519500732	72.0	72.0	0.0	72.0	72.0	1.2454333	1.0164098230469971	12321	11822	12321
12360	182	23.98641872406006	72.0	72.0	0.0	72.0	72.0	1.260601	0.8778947405423969	12360	11861	12360
12398	183	24.052406072616577	72.0	72.0	0.0	72.0	72.0	1.0642229	0.7970862357877195	12398	11899	12398
12451	184	24.142815113067627	72.0	72.0	0.0	72.0	72.0	1.2333513	0.8929746984969824	12451	11952	12451
12484	185	24.19943642616272	72.0	72.0	0.0	72.0	72.0	1.0567454	0.9780976187344641	12484	11985	12484
12528	186	24.273560762405396	72.0	72.0	0.0	72.0	72.0	1.8488709	0.9425620329845696	12528	12029	12528
12566	187	24.339163541793823	72.0	72.0	0.0	72.0	72.0	1.6657401	1.1235223343968392	12566	12067	12566
12610	188	24.412904739379883	72.0	72.0	0.0	72.0	72.0	1.5146834	0.9395772430580109	12610	12111	12610
12643	189	24.471268892288208	72.0	72.0	0.0	72.0	72.0	1.9570209	0.9137808537017554	12643	12144	12643
12684	190	24.540509700775146	72.0	72.0	0.0	72.0	72.0	1.2049285	0.760762168681249	12684	12185	12684
12729	191	24.615906715393066	72.0	72.0	0.0	72.0	72.0	1.5674344	0.8222789489291609	12729	12230	12729
12779	192	24.7005512714386	72.0	72.0	0.0	72.0	72.0	1.215509	0.6594979123678059	12779	12280	12779
12836	193	24.794468879699707	72.0	72.0	0.0	72.0	72.0	0.73001975	0.7403288176190108	12836	12337	12836
12878	194	24.86653470993042	72.0	72.0	0.0	72.0	72.0	1.2214382	0.7662787501700222	12878	12379	12878
12924	195	24.94499373435974	72.0	72.0	0.0	72.0	72.0	1.270084	0.8937855396512896	12924	12425	12924
12962	196	25.010675191879272	72.0	72.0	0.0	72.0	72.0	1.0419978	0.9372448121383786	12962	12463	12962
13001	197	25.077027797698975	72.0	72.0	0.0	72.0	72.0	1.0331227	0.854215871002525	13001	12502	13001
13060	198	25.173117876052856	72.0	72.0	0.0	72.0	72.0	1.6285924	0.8282054025866091	13060	12561	13060
13104	199	25.247092485427856	72.0	72.0	0.0	72.0	72.0	2.078483	0.8856396617647261	13104	12605	13104
13152	200	25.327535152435303	72.0	72.0	0.0	72.0	72.0	1.3064163	0.8740250181406737	13152	12653	13152
13194	201	25.39737057685852	72.0	72.0	0.0	72.0	72.0	0.790084	0.8423218040121719	13194	12695	13194
13236	202	25.46884059906006	72.0	72.0	0.0	72.0	72.0	0.9655587	0.8277191751077771	13236	12737	13236
13293	203	25.561009645462036	72.0	72.0	0.0	72.0	72.0	1.5768757	0.7835370703367517	13293	12794	13293
13335	204	25.63278293609619	72.0	72.0	0.0	72.0	72.0	1.0015565	0.8427542930562049	13335	12836	13335
13383	205	25.711143493652344	72.0	72.0	0.0	72.0	72.0	1.6885008	0.9007920760940761	13383	12884	13383
13417	206	25.77186155319214	72.0	72.0	0.0	72.0	72.0	1.6228384	0.8861866361927241	13417	12918	13417
13453	207	25.83445978164673	72.0	72.0	0.0	72.0	72.0	0.5365177	0.9056767203938216	13453	12954	13453
13492	208	25.902538776397705	72.0	72.0	0.0	72.0	72.0	0.629842	1.0373296735901385	13492	12993	13492
13534	209	25.974854707717896	72.0	72.0	0.0	72.0	72.0	2.074509	1.0748940232442692	13534	13035	13534
13576	210	26.044843912124634	72.0	72.0	0.0	72.0	72.0	1.1131803	0.9702994270808994	13576	13077	13576
13616	211	26.114954471588135	72.0	72.0	0.0	72.0	72.0	1.4101924	0.8467023329716176	13616	13117	13616
13658	212	26.187148332595825	72.0	72.0	0.0	72.0	72.0	1.7211106	0.7547847764706239	13658	13159	13658
13696	213	26.254410982131958	72.0	72.0	0.0	72.0	72.0	1.6066377	0.8313435783516616	13696	13197	13696
13748	214	26.341693878173828	72.0	72.0	0.0	72.0	72.0	1.020869	0.789517292981036	13748	13249	13748
13782	215	26.402266263961792	72.0	72.0	0.0	72.0	72.0	1.8094033	0.9835899658873677	13782	13283	13782
13835	216	26.49175500869751	72.0	72.0	0.0	72.0	72.0	2.0519078	1.1020711635891347	13835	13336	13835
13875	217	26.560466766357422	72.0	72.0	0.0	72.0	72.0	1.007343	1.0650200331537052	13875	13376	13875
13913	218	26.626290321350098	72.0	72.0	0.0	72.0	72.0	1.1275917	0.8574021013407037	13913	13414	13913
13958	219	26.702887773513794	72.0	72.0	0.0	72.0	72.0	1.7639917	0.8843121483782306	13958	13459	13958
14009	220	26.78835129737854	72.0	72.0	0.0	72.0	72.0	1.2502754	0.85224693111144	14009	13510	14009
14053	221	26.863552570343018	72.0	72.0	0.0	72.0	72.0	1.2868149	0.8204067838005722	14053	13554	14053
14091	222	26.92868733406067	72.0	72.0	0.0	72.0	72.0	0.9645194	0.9493267950834706	14091	13592	14091
14156	223	27.03400444984436	72.0	72.0	0.0	72.0	72.0	1.3718368	1.1559503339929507	14156	13657	14156
14206	224	27.118818759918213	72.0	72.0	0.0	72.0	72.0	0.48390934	1.024657271951437	14206	13707	14206
14262	225	27.211851119995117	72.0	72.0	0.0	72.0	72.0	-0.11558325	0.9938283120654523	14262	13763	14262
14321	226	27.309890031814575	72.0	72.0	0.0	72.0	72.0	0.11515269	1.1385830307612195	14321	13822	14321
14370	227	27.394148349761963	72.0	72.0	0.0	72.0	72.0	0.040625077	1.0545570124639199	14370	13871	14370
14421	228	27.49274969100952	72.0	72.0	0.0	72.0	72.0	0.5523394	1.0186736755073071	14421	13922	14421
14456	229	27.566946744918823	72.0	72.0	0.0	72.0	72.0	1.0162307	1.0284061819780619	14456	13957	14456
14494	230	27.632020950317383	72.0	72.0	0.0	72.0	72.0	1.3993691	1.0750011872360483	14494	13995	14494
14533	231	27.699774503707886	72.0	72.0	0.0	72.0	72.0	0.434682	1.2693167871655897	14533	14034	14533
14574	232	27.768490314483643	72.0	72.0	0.0	72.0	72.0	0.62193614	1.2703839293587953	14574	14075	14574
14629	233	27.857582330703735	72.0	72.0	0.0	72.0	72.0	0.669589	1.144213143447414	14629	14130	14629
14676	234	27.934518575668335	72.0	72.0	0.0	72.0	72.0	0.45874834	1.193176863049157	14676	14177	14676
14718	235	28.007908582687378	72.0	72.0	0.0	72.0	72.0	0.17124975	1.1547976855328306	14718	14219	14718
14768	236	28.095656156539917	72.0	72.0	0.0	72.0	72.0	0.52591753	1.0488538011023776	14768	14269	14768
14828	237	28.195245027542114	72.0	72.0	0.0	72.0	72.0	0.10981924	1.2886698978673667	14828	14329	14828
